iteration;Nb bulles;Coordonnées_x_bulle1;Coordonnées_y_bulle1;vitesse_bulle1;Coordonnées_x_bulle30;Coordonnées_y_bulle30;vitesse_bulle30;Coordonnées_x_bulle100;Coordonnées_y_bulle100;vitesse_bulle100
1;107;428,99988;1311,0002;0;421,9997;1280,0016;0;186,22745;715,6175;0
2;107;428,98663;1311,0037;9,111299981988473e-05;422,00037;1279,9987;7,809685698847262e-05;186,22778;715,6174;3,254035707853026e-06
3;107;428,99997;1311,0006;8,135089269632565e-05;422,00095;1279,996;7,158878557276657e-05;185,38918;710,07715;0,1476860376187635
4;107;428,99994;1311,0006;0,0;422,00085;1279,996;0,0;185,38908;710,0771;1,627017853926513e-06
5;107;428,99988;1311,0009;6,508071415706052e-06;422,00137;1279,994;5,2064571325648413e-05;185,06659;704,69183;0,1435550392876441
6;107;428,99985;1311,001;3,254035707853026e-06;422,00137;1279,9941;3,254035707853026e-06;185,06668;704,692;4,881053561779539e-06
7;107;428,99997;1311,001;0,0;422,0013;1279,9941;0,0;184,32121;699,11957;0,1485451030456367
8;107;428,99478;1311,0028;4,881053561779539e-05;422,00055;1279,9943;3,254035707853026e-06;184,32152;699,1196;1,627017853926513e-06
9;107;428,99994;1311,0017;2,9286321370677232e-05;422,00058;1279,9944;3,254035707853026e-06;183,96452;693,6678;0,1453301157662779
10;107;428,99994;1311,0017;0,0;422,0005;1279,9945;3,254035707853026e-06;183,96451;693,66785;1,627017853926513e-06
11;107;428,99997;1311,0007;2,6032285662824207e-05;421,99957;1279,9983;0,0001008751069434438;183,63461;688,1593;0,14684161535257564
12;107;428,9996;1311,001;6,508071415706052e-06;421,99957;1279,9983;0,0;183,63464;688,1595;4,881053561779539e-06
13;107;429,00024;1311,0017;1,9524214247118156e-05;421,9996;1280,0056;0,00019524214247118157;183,42104;682,4339;0,15262729084113832
14;107;428,98688;1311,0051;9,111299981988473e-05;421,99936;1280,0071;3,904842849423631e-05;183,4209;682,4339;0,0
15;107;429,00006;1311,0013;0,0001008751069434438;422,00195;1280,0134;0,00016920985680835736;183,24222;676,41846;0,16035399862943533
16;107;428,99966;1311,0015;3,254035707853026e-06;422,00134;1280,0135;3,254035707853026e-06;183,24232;676,4185;1,627017853926513e-06
17;107;429,00024;1311,0022;1,9524214247118156e-05;422,00137;1280,0135;0,0;182,67897;670,7528;0,15103118632643642
18;107;429,0002;1311,0022;0,0;422,00137;1280,0135;0,0;182,67899;670,7528;0,0
19;107;428,9999;1311,0021;3,254035707853026e-06;422,00137;1280,0135;0,0;182,26195;665,11835;0,15019815318522603
20;107;428,9943;1311,016;0,0003709600706952449;421,999;1280,0146;2,9286321370677232e-05;182,25435;665,111;0,00019524214247118157
21;107;428,99255;1311,0144;4,230246420208934e-05;421,99973;1280,0143;9,762107123559078e-06;181,83972;659,3916;0,15246296203789175
22;107;428,9926;1311,0143;3,254035707853026e-06;421,99973;1280,0143;0,0;181,83978;659,3916;0,0
23;107;428,99005;1311,0085;0,00015293967826909223;421,99973;1280,0143;0,0;181,41267;652,87305;0,1737655067993516
24;107;428,99008;1311,0084;3,254035707853026e-06;421,9999;1280,0142;3,254035707853026e-06;181,41261;652,87305;0,0
25;107;428,98746;1311,0057;7,158878557276657e-05;421,9994;1280,0144;6,508071415706052e-06;181,23615;645,55347;0,19511848911428314
